   45.5.10.13      265695  0.0       (Concepción de La Vega, La Vega, DO, NA) anchor.eliascomunicaciones.com                                                                      
   45.5.10.9       265695  0.203     (Concepción de La Vega, La Vega, DO, NA) core-router.eliascomunicaciones.com                                                                 
   45.5.10.1       265695  0.427     (Concepción de La Vega, La Vega, DO, NA) man-router.eliascomunicaciones.com                                                                  
   200.125.170.248 269931  1.935     (Villa Bisonó, Santiago Province, DO, NA) internet-dedicado-248.wmservice.com.do                                                              
╭─ 200.125.168.41  269931  1.539 (2.578)(Villa Bisonó, Santiago Province, DO, NA) fibra-hasta-la-casa-168-41.wmservice.com.do                                                         
S (269931, 21559)  
╰─ 199.116.62.86   21559   17.967                    (Miami, Florida, US, NA)                                                                                                     
   74.119.26.91    21559   23.663                    (Miami, Florida, US, NA)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   154.24.2.225    174     24.823                  (Jacksonville, FL, US, NA) be3484.rcr21.jax01.atlas.cogentco.com                                                               
   154.54.46.97    174     30.603                       (Atlanta, GA, US, NA) be2449.ccr41.atl01.atlas.cogentco.com                                                               
   154.54.31.26    174     35.584                     (Charlotte, NC, US, NA) be2300.rcr21.clt01.atlas.cogentco.com                                                               
   154.54.83.78    174     38.509              (Cary, North Carolina, US, NA) be2190.rcr71.rdu02.atlas.cogentco.com                                                               
   154.24.36.186   174     40.901                    (Greensboro, NC, US, NA) be2924.rcr61.gso01.atlas.cogentco.com                                                               
   154.24.71.93    174     48.178                      (Richmond, VA, US, NA) be2912.rcr01.ric01.atlas.cogentco.com                                                               
   154.24.27.78    22845   48.229                      (Richmond, VA, US, NA) te0-0-2-3.nr11.b002102-0.ric01.atlas.cogentco.com                                                   
   ***             *       -inf                                           *** *                                                                                                   
   209.10.65.51    53907   43.754                 (Ashburn, Virginia, US, NA)                                                                                                     
   209.10.80.171   30025   43.579                       (Fairfax, VA, US, NA) *                                                                                                   
   23.152.192.245  53698   43.667                (Richmond, Virginia, US, NA) us-rcd-as53698-client.anchors.atlas.ripe.net                                                        
