   185.221.36.2    48854   0.0           (Tranbjerg, Central Jutland, DK, EU) dk-skg-as48854.anchors.atlas.ripe.net                                                               
   185.221.36.253  48854   1.374 (213.907)     (Stilling, Central Jutland, DK, EU)                                                                                                     
   212.237.248.14  48854   0.385          (Stilling, Central Jutland, DK, EU)                                                                                                     
   80.70.0.248     48854   0.313          (Stilling, Central Jutland, DK, EU)                                                                                                     
   93.167.247.106  3292    0.425          (Stilling, Central Jutland, DK, EU) cpe.et-3-3-0-100.sdnqe11.dk.customer.tdc.net                                                        
   93.167.247.105  3292    0.489          (Stilling, Central Jutland, DK, EU) et-3-3-0-100.sdnqe11.dk.ip.tdc.net                                                                  
   83.88.19.117    3292    3.352                         (None, None, DK, EU) ae0-0.alb2nqp8.dk.ip.tdc.net                                                                        
╭─ 80.156.160.193  3320    4.833                  (Roskilde, Zealand, DK, EU)                                                                                                     
T (3320)  globalconnect-3-gc3 ✘
╰─ 217.5.82.50     3320    9.494                         (None, None, DE, EU) hh-eb10-i.HH.DE.NET.DTAG.DE                                                                         
   185.39.176.22   200567  10.115                        (None, None, DE, EU) public-ping.mdex.de                                                                                 
   185.70.144.118  200567  9.642                   (Hamburg, Hamburg, DE, EU)                                                                                                     
