   103.156.251.7   141235  0.0                 (Singapore, Singapore, SG, AS)                                                                                                     
   103.156.251.3   141235  0.359               (Singapore, Singapore, SG, AS)                                                                                                     
   103.156.250.127 141235  0.448               (Singapore, Singapore, SG, AS)                                                                                                     
   116.51.30.80    2914    1.727               (Singapore, Singapore, SG, AS) ge-100-0-0-18.r00.sngpsi07.sg.bb.gin.ntt.net                                                        
   129.250.4.133   2914    1.754               (Singapore, Singapore, SG, AS) ae-0.r23.sngpsi07.sg.bb.gin.ntt.net                                                                 
   129.250.5.242   2914    1.092               (Singapore, Singapore, SG, AS) ae-1.a03.sngpsi07.sg.bb.gin.ntt.net                                                                 
   27.111.230.140  *       1.003               (Singapore, Singapore, SG, AS) 55569-sg1-ix.equinix.com                                                                            
   ***             *       -inf                                           *** *                                                                                                   
   182.161.73.67   55569   1.409               (Singapore, Singapore, SG, AS)                                                                                                     
   182.161.73.41   55569   1.668               (Singapore, Singapore, SG, AS)                                                                                                     
