   31.15.54.138    1257    0.0              (Linköping, Östergötland, SE, EU)                                                                                                     
   31.15.54.137    1257    0.165                (Slaka, Östergötland, SE, EU)                                                                                                     
   192.36.132.254  1257    2.153            (Linköping, Östergötland, SE, EU)                                                                                                     
   37.233.77.225   1257    1.291                (Slaka, Östergötland, SE, EU) host-37-233-76-225.ipv4.regusnet.com                                                                
   81.216.114.68   1257    0.764                (Slaka, Östergötland, SE, EU) lkg462-sn-1.eth-trunk4s2330106.tele2.net                                                            
   91.129.19.83    1257    16.173           (Linköping, Östergötland, SE, EU) lin3-sn-1.eth-trunk2.tele2.net                                                                      
   91.129.19.80    1257    16.353           (Linköping, Östergötland, SE, EU) lkg456-sn-1.eth-trunk2.tele2.net                                                                    
   91.129.19.78    1257    16.377           (Linköping, Östergötland, SE, EU) ch-lin-agg-1.bundle-ether6.tele2.net                                                                
   91.129.13.94    1257    16.685           (Linköping, Östergötland, SE, EU) nrk316-agg-1.bundle-ether2.tele2.net                                                                
   91.129.16.156   1257    16.528           (Linköping, Östergötland, SE, EU) avk-cagg-1.bundle-ether49.tele2.net                                                                 
╭─ 91.129.14.227   1257    16.146              (Stockholm, Stockholm, SE, EU) tvt-agg-1.bundle-ether6.tele2.net                                                                   
S (1257)  
╰─ 91.129.14.157   1257    16.137                  (Vilnius, Vilnius, LT, EU) vlna00-agg-1.bundle-ether8.tele2.net                                                                
   91.129.14.187   1257    16.333                  (Vilnius, Vilnius, LT, EU) vlna00-peer-1.ae1-unit0.tele2.net                                                                   
   185.1.113.29    21412   16.618                     (Vilnius, 65, LT, None) *                                                                                                   
   5.20.2.250      21412   16.775                       (Vilnius, VL, LT, EU) dmz-2-250.cgates.lt                                                                                 
   5.20.2.255      21412   16.737                  (Vilnius, Vilnius, LT, EU) dmz-2-255.cgates.lt                                                                                 
