   37.252.251.26   42473   0.0       (Santiago, Santiago Metropolitan, CL, SA)                                                                                                     
   37.252.251.25   42473   0.281     (Santiago, Santiago Metropolitan, CL, SA)                                                                                                     
   200.25.88.145   7195    0.9       (Santiago, Santiago Metropolitan, CL, SA) ae100.2542.edge1.scl2.as7195.net                                                                    
   200.25.51.41    7195    1.142     (Santiago, Santiago Metropolitan, CL, SA) ae0.0.edge2.scl2.as7195.net                                                                         
   200.25.22.193   7195    3.547     (Santiago, Santiago Metropolitan, CL, SA)                                                                                                     
   200.14.212.59   6429    1.754                         (None, None, CL, SA) *                                                                                                   
   200.27.103.25   6429    2.209                       (Santiago, RM, CL, SA) *                                                                                                   
   200.27.103.27   27678   2.106                        (Machali, LI, CL, SA) *                                                                                                   
   200.16.114.31   27678   3.272                         (None, None, CL, SA) ciscoa1i.nic.cl                                                                                     
   200.1.122.55    27678   3.561     (Santiago, Santiago Metropolitan, CL, SA) unassigned.nic.cl                                                                                   
