   5.199.167.27    216444  0.0                 (Singapore, Singapore, SG, AS)                                                                                                     
   5.199.167.25    216444  0.365               (Singapore, Singapore, SG, AS)                                                                                                     
   156.146.32.116  60068   0.992               (Singapore, Singapore, SG, AS) unn-156-146-32-116.cdn77.com                                                                        
   45.11.107.69    57695   0.841                       (Singapore, 4, SG, AS) v3538.cr02.sin03.sg.misaka.io                                                                       
   45.11.107.19    969     0.824               (Singapore, Singapore, SG, AS) e34-10.spine1.sin03.sg.misaka.io                                                                    
   194.156.163.7   57695   0.82                (Singapore, Singapore, SG, AS) po27.1004.sin03.sg.misaka.io                                                                        
╭─ 194.156.163.49  57695   0.883               (Singapore, Singapore, SG, AS) user-194-156-163-49.sin03.sg.misaka.io                                                              
S (57695, 7545)  australia-singapore-cable-asc ✓ || indigo-west ✓ || seamewe-3 ✓
╰─ 203.192.83.254  7545    94.432               (Melbourne, Victoria, AU, OC) ip-254-83-192-203.static.pipenetworks.com                                                           
   103.179.37.157  151332  95.75                (Melbourne, Victoria, AU, OC)                                                                                                     
