   41.221.208.94   3491    0.0                (Johannesburg, Gauteng, ZA, AF) 41-221-208-94.static.pccwglobal.net                                                                 
   41.221.208.93   3491    0.926              (Johannesburg, Gauteng, ZA, AF) 41-221-208-93.static.pccwglobal.net                                                                 
   196.33.119.97   3741    17.43                        (Breyten, MP, ZA, AF) mi-za-bry-pe6-gi2-0-3012.ip.isnet.net                                                               
   168.209.88.128  3741    17.225                        (None, None, ZA, AF) mi-za-pkl-br7-be-302.ip.ddii.network                                                                
   168.209.88.129  3741    17.083                        (None, None, ZA, AF) mi-za-pkl-p7-hun-0-0-0-1sub302.ip.ddii.network                                                      
   196.26.0.10     3741    16.62                         (None, None, ZA, AF) pr1-pkl-ae0.ip.ddii.network                                                                         
   196.60.96.98    *       17.555             (Johannesburg, Gauteng, ZA, AF) xneelo.jinx.net.za                                                                                  
   197.189.193.26  37153   33.411           (Cape Town, Western Cape, ZA, AF) core-router1.cpt3.host-h.net                                                                        
   196.40.102.70   37153   52.277                        (None, None, ZA, AF) core-access-switch1-vlan1001.cpt.host-h.net                                                         
   196.40.111.147  37153   33.322           (Cape Town, Western Cape, ZA, AF) atlas-anchor-cpt3.cpt.net.host-h.net                                                                
