   74.119.118.17   19750   0.0                        (Dallas, Texas, US, NA)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   100.66.0.44     *       0.287                                          ***                                                                                                     
   100.66.0.43     *       0.382                                          ***                                                                                                     
   76.74.14.217    3257    2.504                      (Dallas, Texas, US, NA) et-3-0-13.cr7-dal3.ip4.gtt.net                                                                      
   213.200.119.198 3257    1.469                         (Dallas, TX, US, NA) ae10.cr8-dal3.ip4.gtt.net                                                                           
   ***             *       -inf                                           *** *                                                                                                   
   63.223.43.114   3491    34.556                   (Los Angeles, CA, US, NA) TenGE0-1-0-15.br04.lax05.pccwbtn.net                                                                
   63.223.43.114   3491    34.556                   (Los Angeles, CA, US, NA) TenGE0-1-0-15.br04.lax05.pccwbtn.net                                                                
   63.218.212.242  3491    34.025            (El Segundo, California, US, NA) yomura.ge-0-0-0-10.br03.lax05.as3491.net                                                            
