   185.15.59.74    14907   0.0             (Amsterdam, North Holland, NL, EU) atlas3001.wikimedia.org                                                                             
   185.15.59.73    14907   0.494 (6.134)        (Haarlem, North Holland, NL, EU) irb-332.asw1-by27-esams.wikimedia.org                                                               
   185.15.59.154   14907   0.989             (Haarlem, North Holland, NL, EU) et-1-0-1.cr1-esams.wikimedia.org                                                                    
   185.15.59.153   14907   0.924             (Haarlem, North Holland, NL, EU) ae0.cr2-esams.wikimedia.org                                                                         
╭─ 193.239.116.27  13101   1.234                     (Amsterdam, 7, NL, None) tng-stadtnetz.sara1.nl-ix.net                                                                       
T (13101)  
╰─ 213.178.65.148  13101   7.678                        (Hamburg, HH, DE, EU) ham8.tng.de                                                                                         
   213.178.65.155  13101   8.916           (Kiel, Schleswig-Holstein, DE, EU) kel2.tng.de                                                                                         
   82.97.188.1     13101   8.882                         (None, None, DE, EU) rtr1.gallifrey.tng.de                                                                               
   213.158.113.5   13101   9.034                   (Hamburg, Hamburg, DE, EU) ripe-anchor.gallifrey.tng.de                                                                        
