   202.46.184.4    38064   0.0                   (Auckland, Auckland, NZ, OC)                                                                                                     
   202.46.184.1    38064   0.286                 (Auckland, Auckland, NZ, OC)                                                                                                     
╭─ 43.243.21.69    38195   1.078                      (Auckland, AUK, NZ, OC) as38195.akl.ix.nz                                                                                   
S (38195)  tasman-global-access-tga-cable ✘ || southern-cross-cable-network-sccn ✘ || hawaiki ✘
╰─ 111.118.196.28  38195   24.597                        (None, None, AU, OC) hundredgige0-0-1-3.bdr01-ipt-220queen-akl.nz.superloop.net.co                                       
   111.118.196.22  38195   24.657                        (None, None, AU, OC) bundle-ether34-122.bdr02-ipt-47bourke-syd.au.superloop.net.co                                       
   103.200.13.66   38195   24.81                         (None, None, AU, OC) bundle-ether31.bdr02-ipt-4edenpar-syd.au.superloop.net.co                                           
   103.200.13.69   38195   24.87                        (Sydney, NSW, AU, OC) bundle-ether33.bdr01-ipt-4edenpar-syd.au.superloop.net.co                                           
   203.153.18.99   9336    24.162                       (Sydney, NSW, AU, OC) *                                                                                                   
   202.90.50.69    9336    24.382                (Upper Coomera, QLD, AU, OC) te0-1-6-2.cr-01.gbsw.nsw.spirit.net.au                                                              
   103.126.52.172  138466  24.51                         (None, None, AU, OC) vl450-dp0s18-pauseq4rbdr7.datamossa.io                                                              
   103.126.52.196  138466  25.094                        (None, None, AU, OC) vl129-bo0.pauseq4rbdr2.datamossa.io                                                                 
   103.126.52.180  138466  25.095           (Sydney, New South Wales, AU, OC) as138466.anchors.atlas.ripe.net                                                                     
