   217.28.166.213  3292    0.0               (Århus, Central Jutland, DK, EU)                                                                                                     
   217.28.166.211  3292    5.559 (55.932)    (Tranbjerg, Central Jutland, DK, EU)                                                                                                     
   62.242.1.165    3292    1.559         (Tranbjerg, Central Jutland, DK, EU) ge-3-3-3-114.trgnqe10.dk.ip.tdc.net                                                                 
╭─ 83.88.1.219     3292    11.106                        (None, None, DK, EU) ae10-0.asd3nqp1.nl.ip.tdc.net                                                                       
S&T (3292, 12414)  
╰─ 80.249.208.165  12414   11.721                      (Schiphol, NH, NL, EU) ams-ix1.ams1.network.solcon.net                                                                     
   212.45.44.130   12414   13.102                   (Zwijndrecht, ZH, NL, EU) en-44130.solcon.nl                                                                                  
   212.45.44.142   12414   13.183                   (Zwijndrecht, ZH, NL, EU) en-44142.solcon.nl                                                                                  
   212.45.44.186   12414   13.055                   (Zwijndrecht, ZH, NL, EU) en-44186.solcon.nl                                                                                  
   87.195.79.82    12414   13.416                (Dronten, Flevoland, NL, EU) nl-dro-as12414.anchors.atlas.ripe.net                                                               
