   103.133.238.187 132808  0.0                 (Brisbane, Queensland, AU, OC) iptelco.com.au                                                                                      
   103.133.238.130 132808  0.393               (Brisbane, Queensland, AU, OC) vmnet-hsrp66.bdr01-bne-br1.iptelco.net.au                                                           
   103.17.223.161  58511   0.584               (Brisbane, Queensland, AU, OC) pe.as132808.as58511.net.223.17.103.in-addr.arpa                                                     
   103.30.218.118  58511   159.756                       (None, None, AU, OC) et-0-0-6.cor101.ndcb1.au.as58511.net                                                                
   103.30.217.28   58511   159.868                       (None, None, AU, OC) et-0-0-7.cor102.gssyd.au.as58511.net                                                                
   103.30.217.203  58511   159.932                       (None, None, AU, OC) et-0-0-4.cor102.ndcs1.au.as58511.net                                                                
   103.30.217.215  132072  160.682                       (None, None, AU, OC) ra6-80g.cor1.ndcs1.au.as58511.net                                                                   
   103.30.216.254  *       13.463           (Sydney, New South Wales, AU, OC) ra2.cor2.vdost.au.as58511.net                                                                       
   103.30.216.67   58511   159.994                       (None, None, AU, OC) te1-1-4.cor1.220qa.nz.as58511.net                                                                   
   103.30.216.131  58511   160.047                       (None, None, AU, OC) gi0-2-10.msr1.dre.au.as58511.net                                                                    
   103.30.216.15   *       160.301          (Sydney, New South Wales, AU, OC) te1-0-46.cor2.csla1.us.as58511.net                                                                  
╭─ 103.30.218.167  *       159.652          (Sydney, New South Wales, AU, OC) et-0-0-0.bdr101.csla1.us.as58511.net                                                                
S (, 3257)  
╰─ 173.205.52.201  3257    159.882          (Los Angeles, California, US, NA) ae0-1701.cr7-lax2.ip4.gtt.net                                                                       
   89.149.141.105  3257    159.934                  (Los Angeles, CA, US, NA) ae9.cr3-lax2.ip4.gtt.net                                                                            
   76.74.41.90     20473   163.694                       (None, None, US, NA) ip4.gtt.net                                                                                         
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   149.248.18.65   20473   160.319          (Los Angeles, California, US, NA) 149.248.18.65.vultrusercontent.com                                                                  
