   45.76.126.106   20473   0.0              (Sydney, New South Wales, AU, OC) 45.76.126.106.vultrusercontent.com                                                                  
   ***             *       -inf                                           *** *                                                                                                   
   100.100.200.1   *       13.033                                         ***                                                                                                     
   10.74.0.29      *       1.428                                          ***                                                                                                     
   10.74.1.189     *       1.004                                          ***                                                                                                     
   218.100.52.171  38880   1.416                        (Sydney, 2, AU, None) as38880.nsw.ix.asn.au                                                                               
   192.168.248.113 *       13.658                                         ***                                                                                                     
   192.168.248.6   *       12.785                                         ***                                                                                                     
   10.101.221.1    *       13.142                                         ***                                                                                                     
   27.131.108.126  38880   12.833               (Melbourne, Victoria, AU, OC)                                                                                                     
