   37.10.41.14     202196  0.0                 (Singapore, Singapore, SG, AS)                                                                                                     
   37.10.41.9      202196  0.525               (Singapore, Singapore, SG, AS)                                                                                                     
   210.57.30.93    4637    1.617               (Singapore, Singapore, SG, AS) unknown.telstraglobal.net                                                                           
   202.84.219.174  4637    2.829               (Singapore, Singapore, SG, AS) i-92.sgcn-core01.telstraglobal.net                                                                  
   202.84.219.174  4637    2.829               (Singapore, Singapore, SG, AS) i-92.sgcn-core01.telstraglobal.net                                                                  
   202.84.224.197  4637    2.539               (Singapore, Singapore, SG, AS) i-91.istt04.telstraglobal.net                                                                       
   63.218.165.85   3491    2.398                       (Singapore, 4, SG, AS) 63-218-165-85.static.pccwglobal.net                                                                 
   63.223.34.146   3491    2.429                       (Singapore, 4, SG, AS) bundle-ether46.br06.sin02.pccwbtn.net                                                               
   63.220.192.81   3491    2.312               (Singapore, Singapore, SG, AS) 63-220-192-81.static.pccwglobal.net                                                                 
   ***             *       -inf                                           *** *                                                                                                   
   202.70.132.2    140443  34.754              (Singapore, Singapore, SG, AS) 2.132.70.202.in-addr.herza.id                                                                       
   202.70.133.25   140443  33.258              (Singapore, Singapore, SG, AS) 25.133.70.202.in-addr.herza.id                                                                      
