   41.221.208.94   3491    0.0                (Johannesburg, Gauteng, ZA, AF) 41-221-208-94.static.pccwglobal.net                                                                 
   41.221.208.93   3491    0.943              (Johannesburg, Gauteng, ZA, AF) 41-221-208-93.static.pccwglobal.net                                                                 
   196.33.119.97   3741    17.321                       (Breyten, MP, ZA, AF) mi-za-bry-pe6-gi2-0-3012.ip.isnet.net                                                               
   168.209.88.128  3741    17.266                        (None, None, ZA, AF) mi-za-pkl-br7-be-302.ip.ddii.network                                                                
   168.209.88.129  3741    17.186                        (None, None, ZA, AF) mi-za-pkl-p7-hun-0-0-0-1sub302.ip.ddii.network                                                      
   168.209.1.170   3741    16.581                        (None, None, ZA, AF) pr1-pkl-ae1.ip.ddii.network                                                                         
   196.60.96.99    *       32.179             (Johannesburg, Gauteng, ZA, AF) xneelo-2.jinx.net.za                                                                                
   197.189.193.1   37153   32.007                       (Sandton, GP, ZA, AF) core-access-switch1.jnb1.host-h.net                                                                 
   197.189.194.147 37153   17.564             (Johannesburg, Gauteng, ZA, AF) atlas-anchor-jnb1.jnb.net.host-h.net                                                                
