   212.45.159.245  8816    0.0                      (Milan, Lombardy, IT, EU) it-mil-as8816.anchors.atlas.ripe.net                                                                
   212.45.159.246  8816    0.821                    (Milan, Lombardy, IT, EU) asr-luc1-gi7.metrolink.it                                                                           
   212.45.137.158  8816    0.878                    (Milan, Lombardy, IT, EU) asr-sal1-te25.metrolink.it                                                                          
   212.45.137.190  8816    1.104                    (Milan, Lombardy, IT, EU) br-mix-te12.metrolink.it                                                                            
   212.45.159.5    8816    1.229                         (Milan, 9, IT, None) br-see-fo21.metrolink.it                                                                            
   185.1.114.12    202709  1.053                         (Milan, 9, IT, None) itgate.minap.it                                                                                     
   213.254.30.222  12779   2.943                         (Torino, 21, IT, EU) be20.Scooby-Monster.core.TRN.itgate.net                                                             
   213.254.30.223  12779   2.736                         (Torino, 21, IT, EU) po1.nx01.colo.trn1.itgate.net                                                                       
   213.212.129.68  12779   2.585                    (Turin, Piedmont, IT, EU) it-trn-as12779.anchors.atlas.ripe.net                                                               
