   109.230.214.3   199610  0.0                       (Miami, Florida, US, NA)                                                                                                     
   31.214.134.1    199610  0.322                     (Miami, Florida, US, NA)                                                                                                     
   157.238.226.0   2914    0.584                     (Miami, Florida, US, NA) ce-2-3-1-1001.a03.miamfl02.us.bb.gin.ntt.net                                                        
   129.250.7.47    2914    1.376                     (Miami, Florida, US, NA) ae-3.r23.miamfl02.us.bb.gin.ntt.net                                                                 
╭─ 129.250.2.197   2914    110.508                       (None, None, US, NA) ae-11.r01.saplbr01.br.bb.gin.ntt.net                                                                
S (2914)  
╰─ 200.15.9.95     2914    104.757           (Carapicuíba, São Paulo, BR, SA) ae1-1326.gw1.nu.registro.br                                                                         
   200.160.0.160   22548   107.443                       (None, None, BR, SA) xe-0-1-2-0.core1.nu.registro.br                                                                     
   200.160.0.250   22548   107.565                       (None, None, BR, SA) ae0-0.ar3.jd.registro.br                                                                            
   200.160.6.19    22548   107.745             (São Paulo, São Paulo, BR, SA) br-sao-as22548.anchors.atlas.ripe.net                                                               
