   23.170.33.3     54632   0.0          (Vancouver, British Columbia, CA, NA) ca-van-as397131.anchors.atlas.ripe.net                                                              
   23.170.32.1     54632   0.315        (Vancouver, British Columbia, CA, NA) xe-0-1-3-0-border2-van1.etinw.net                                                                   
   ***             *       -inf                                           *** *                                                                                                   
╭─ 154.24.5.77     174     0.868        (Vancouver, British Columbia, CA, NA) be3763.rcr21.yvr01.atlas.cogentco.com                                                               
S&T (174)  ketchcan1-submarine-fiber-cable-system ✘
╰─ 154.54.27.161   174     4.471                        (Seattle, WA, US, NA) be3247.ccr22.sea02.atlas.cogentco.com                                                               
   154.54.95.209   174     5.265                (Seattle, Washington, US, NA)                                                                                                     
   154.54.42.122   174     5.243                        (Seattle, WA, US, NA) be3320.rcr12.sea05.atlas.cogentco.com                                                               
   154.24.49.154   174     6.123                       (New York, NY, US, NA) te0-0-2-0.nr11.b000950-0.jfk02.atlas.cogentco.com                                                   
   38.122.91.114   174     4.876                (Seattle, Washington, US, NA)                                                                                                     
   166.0.65.4      396163  5.598                (Seattle, Washington, US, NA)                                                                                                     
