   45.65.244.254   265721  0.0                  (Sosúa, Puerto Plata, DO, NA) ripeatlas-anchor.cableatlantico.com                                                                 
   45.65.244.253   265721  0.362                (Sosúa, Puerto Plata, DO, NA) linea-dedicada-244-253.cableatlantico.com                                                           
╭─ 200.58.244.1    265721  0.821                (Sosúa, Puerto Plata, DO, NA) puertoplata-link-100g.cableatlantico.com                                                            
S (265721, 23520)  
╰─ 69.79.106.50    23520   17.179                    (Miami, Florida, US, NA) xe-2-0-8.pr-mop03-mx01.metrooffice.puerto-rico.cwc.com                                              
   69.79.102.0     23520   17.869                    (Boca Raton, FL, US, NA) ae0.brx-mx2020-2.boca-raton.fl.usa.cwc.com                                                          
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   184.104.196.105 6939    43.583                      (Richmond, VA, US, NA) 100ge0-35.core1.ric1.he.net                                                                         
   209.51.171.154  32425   45.543                      (Richmond, VA, US, NA) pixel-factory-inc.e0-5.switch1.ric1.he.net                                                          
   208.73.136.156  32425   49.876                       (Ashland, VA, US, NA) sw-pxf-mmr-n3k1.pxfactorydc.net                                                                     
   208.73.136.45   32425   49.823                       (Ashland, VA, US, NA) sw-pxf-t1-mng.v986.xe.pxfactorydc.net                                                               
   208.73.138.12   32425   49.577                 (Ashland, Virginia, US, NA)                                                                                                     
