   185.70.144.118  200567  0.0                     (Hamburg, Hamburg, DE, EU)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   62.214.137.217  8881    4.203                         (Berlin, BE, DE, EU) *                                                                                                   
   185.1.210.35    *       6.97                    (Hamburg, Hamburg, DE, EU) hhb002isp006.versatel.de                                                                            
   185.1.210.115   *       12.989          (Frankfurt am Main, Hesse, DE, EU) vlan502.ae10.cr2.fra.plusserver.com                                                                 
   85.119.200.86   61157   14.526                       (Hamburg, HH, DE, EU) ae2.cr2.ham6.plusserver.com                                                                         
   85.119.200.130  61157   14.987                  (Hamburg, Hamburg, DE, EU) be1.er0.ham5.plusserver.com                                                                         
   194.15.144.152  6659    14.971                        (None, None, DE, EU) *                                                                                                   
   212.116.21.241  6659    14.546    (Norderstedt, Schleswig-Holstein, DE, EU)                                                                                                     
   212.116.14.178  6659    14.664                  (Hamburg, Hamburg, DE, EU)                                                                                                     
