   37.10.40.14     202196  0.0                 (Hong Kong, Hong Kong, HK, AS)                                                                                                     
   37.10.40.9      202196  0.752            (Tai Yuen Estate, Tai Po, HK, AS)                                                                                                     
   210.176.141.185 4637    1.846            (Tai Yuen Estate, Tai Po, HK, AS) unknown.telstraglobal.net                                                                           
   202.84.173.21   4637    2.573     (Hong Kong, Central and Western, HK, AS) i-0-3-0-6.hkck-core01.telstraglobal.net                                                             
   202.84.157.37   4637    2.869     (Hong Kong, Central and Western, HK, AS)                                                                                                     
╭─ 210.57.53.53    3257    1.846                         (None, None, HK, AS) unknown.telstraglobal.net                                                                           
S (3257)  asia-america-gateway-aag-cable-system ✓
╰─ 141.136.105.130 3257    253.126                     (San Jose, CA, US, NA) ae0.cr3-sjc1.ip4.gtt.net                                                                            
   72.29.200.41    3257    253.932             (San Jose, California, US, NA) ip4.gtt.net                                                                                         
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   149.28.210.233  20473   254.116          (Santa Clara, California, US, NA) 149.28.210.233.vultrusercontent.com                                                                 
