   197.189.194.147 37153   0.0                (Johannesburg, Gauteng, ZA, AF) atlas-anchor-jnb1.jnb.net.host-h.net                                                                
   197.189.194.145 37153   1.791              (Johannesburg, Gauteng, ZA, AF)                                                                                                     
   197.189.193.3   37153   0.206              (Johannesburg, Gauteng, ZA, AF) core-router2.jnb1.host-h.net                                                                        
   41.66.132.245   37179   0.351              (Johannesburg, Gauteng, ZA, AF) 41-66-132-245-f5.customer.xe-0-0-2-gp-sm-dce-2.africainx.net                                        
   41.84.13.65     37225   1.653                   (Johannesburg, GP, ZA, AF) core.ge-0-1-1-gp-id-pbr-1.za.africainx.net                                                          
   105.25.146.5    37100   1.577              (Johannesburg, Gauteng, ZA, AF)                                                                                                     
   105.16.29.1     37100   150.546                 (Johannesburg, GT, ZA, AF) ce-0-3-0-0.cr-01-jnb.za.seacomnet.com                                                               
╭─ 105.25.160.173  37100   159.451          (Cape Town, Western Cape, ZA, AF) ce-0-0-9.cr-01-cpt.za.seacomnet.com                                                                 
S (37100)  
╰─ 105.16.12.98    37100   159.522   (Marseille, Provence-Alpes-Côte d'Azur, FR, EU) ce-0-0-25.cr-01-mrs.fr.seacomnet.com                                                                
   105.16.33.253   37100   157.589                   (Marseille, PAC, FR, EU) xe-0-0-1-0.br-02-mrs.fr.seacomnet.com                                                               
╭─ 213.144.184.130 6762    157.466   (Marseille, Provence-Alpes-Côte d'Azur, FR, EU)                                                                                                     
S&T (6762)  
╰─ 195.22.196.69   6762    164.798                        (Milan, 25, IT, EU) ae0.milano52.mil.seabone.net                                                                        
   195.22.196.69   6762    164.798                        (Milan, 25, IT, EU) ae0.milano52.mil.seabone.net                                                                        
   213.144.167.19  6762    165.206                  (Milan, Lombardy, IT, EU) vox-167-19.mil.seabone.net                                                                          
   ***             *       -inf                                           *** *                                                                                                   
   62.196.8.238    5602    181.16                (Vigolo Vattaro, 32, IT, EU) *                                                                                                   
   109.168.0.173   5602    172.485                         (Lodi, 25, IT, EU) cr2-tenge0-0-0-0-cal2.mil.kpnqwest.it                                                               
   109.168.0.14    5602    172.174                         (Lodi, 25, IT, EU) cr2-hunge0-0-1-1-cal4.mil.kpnqwest.it                                                               
   94.141.0.142    5602    174.652                         (Rome, 62, IT, EU) cs2-xe-1-1-0-0-cal4.mil.kpnqwest.it                                                                 
   109.168.125.243 5602    174.718                  (Milan, Lombardy, IT, EU) 243.125.168.109.host.static.ip.kpnqwest.it                                                          
