   192.158.252.10  1280    0.0            (Mountain View, California, US, NA) us-pao-as1280.anchors.atlas.ripe.net                                                                
   192.158.252.3   1280    0.267              (Palo Alto, California, US, NA) r2.pao2-guests.isc.org                                                                              
   64.62.180.45    6939    0.727              (Palo Alto, California, US, NA) e0-30.switch2.pao1.he.net                                                                           
   184.104.198.253 6939    2.479               (San Jose, California, US, NA) port-channel13.core3.sjc2.he.net                                                                    
   65.19.191.118   6939    1.876                (Fremont, California, US, NA) level3-as3356.port-channel9.core2.sjc2.he.net                                                       
   4.69.206.169    3356    41.385                        (Dallas, TX, US, NA) ae2.3609.edge2.Dallas2.level3.net                                                                   
   4.14.135.90     19750   42.209                        (Dallas, TX, US, NA) CRITEO.edge2.Dallas2.Level3.net                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   74.119.118.196  19750   47.017                     (Dallas, Texas, US, NA)                                                                                                     
   74.119.118.17   19750   42.372                     (Dallas, Texas, US, NA)                                                                                                     
