   63.222.191.5    3491    0.0              (Sydney, New South Wales, AU, OC)                                                                                                     
   63.222.191.1    3491    0.758            (Sydney, New South Wales, AU, OC)                                                                                                     
   49.255.250.53   4826    1.311                        (Sydney, NSW, AU, OC) Fo-0-2-1-0-701.bdr01.syd03.nsw.VOCUS.net.au                                                         
   114.31.192.86   4826    0.748                        (Sydney, NSW, AU, OC) be108.cor02.syd04.nsw.vocus.network                                                                 
   114.31.192.45   4826    0.841                        (Sydney, NSW, AU, OC) be100.bdr04.syd03.nsw.vocus.network                                                                 
   202.77.88.23    137409  0.463                        (Sydney, NSW, AU, OC) as137409.syd.edgeix.net.au                                                                          
   31.217.251.93   7578    0.555         (Belmont, Western Australia, AU, OC)                                                                                                     
   31.217.251.137  137409  0.362                         (None, None, AU, OC) et25-1.v2005.c-a.sy5.gslnetworks.com                                                                
   ***             *       -inf                                           *** *                                                                                                   
   202.165.66.5    137409  1.134            (Sydney, New South Wales, AU, OC)                                                                                                     
