   31.47.76.181    15954   0.0                       (Madrid, Madrid, ES, EU) ancla.tecnocratica.net                                                                              
   31.47.76.2      15954   0.371                     (Madrid, Madrid, ES, EU) gw445-1.mad01.tecnocratica.net                                                                      
   91.216.219.5    *       0.265                     (Madrid, Madrid, ES, EU) 25g-e3.r1.mad1.tecnocratica.net                                                                     
   91.216.219.86   *       0.34                      (Madrid, Madrid, ES, EU) 25g-e6.r3.mad1.tecnocratica.net                                                                     
╭─ 185.1.193.3     *       0.72                      (Madrid, Madrid, ES, EU) er1.mad1.edgoo.net                                                                                  
S&T (, 47787)  sat-3wasc ✘ || seamewe-3 ✘
╰─ 193.163.151.209 47787   10.879                        (Lisbon, 11, PT, EU) cr1.lis1.edgoo.net                                                                                  
   193.109.188.7   47787   32.254                    (Lisbon, Lisbon, PT, EU)                                                                                                     
   185.222.11.4    62416   3602.262                  (Lisbon, Lisbon, PT, EU) core.bfsw1.lis1.ptservidor.net                                                                      
   185.32.189.249  62416   33.065                  (Odivelas, Lisbon, PT, EU) pt-lis-as62416.anchors.atlas.ripe.net                                                               
