   203.41.0.43     1221    0.0              (Sydney, New South Wales, AU, OC)                                                                                                     
   203.41.0.41     1221    0.156            (Sydney, New South Wales, AU, OC)                                                                                                     
   203.48.8.166    1221    0.216            (Sydney, New South Wales, AU, OC) tel4239945.lnk.telstra.net                                                                          
   203.48.8.165    1221    0.851            (Sydney, New South Wales, AU, OC) bundle-ether803-206.chw-edge903.sydney.telstra.net                                                  
   203.50.11.176   1221    0.67                         (Sydney, NSW, AU, OC) bundle-ether17.chw-core10.sydney.telstra.net                                                        
   203.50.13.131   1221    11.675               (Melbourne, Victoria, AU, OC) bundle-ether3.win-core30.melbourne.telstra.net                                                      
   203.50.6.228    1221    19.59                       (Adelaide, SA, AU, OC) bundle-ether2.fli-core10.adelaide.telstra.net                                                       
   203.50.6.233    1221    48.882                         (Perth, WA, AU, OC) bundle-ether3.wel-core10.perth.telstra.net                                                          
╭─ 203.50.9.6      4637    48.638                       (Sydney, NSW, AU, OC) bundle-ether1.pthw-core02.telstraglobal.net                                                         
S (4637)  seamewe-3 👍 || indigo-west 👍 || australia-singapore-cable-asc ✓
╰─ 202.84.141.237  4637    95.565              (Singapore, Singapore, SG, AS) i-25154.sgcn-core01.telstraglobal.net                                                               
   202.84.141.237  4637    95.565              (Singapore, Singapore, SG, AS) i-25154.sgcn-core01.telstraglobal.net                                                               
   202.84.224.197  4637    96.677              (Singapore, Singapore, SG, AS) i-91.istt04.telstraglobal.net                                                                       
   63.218.165.85   3491    96.684                      (Singapore, 4, SG, AS) 63-218-165-85.static.pccwglobal.net                                                                 
   63.223.58.70    3491    95.645                      (Singapore, 4, SG, AS) HundredGE0-1-0-0.br03.sin03.pccwbtn.net                                                             
   63.223.58.70    3491    95.645                      (Singapore, 4, SG, AS) HundredGE0-1-0-0.br03.sin03.pccwbtn.net                                                             
   63.218.249.190  7632    96.263                      (Singapore, 4, SG, AS) linknet.be12.br03.sin03.pccwbtn.net                                                                 
╭─ 111.95.244.174  7632    96.132              (Singapore, Singapore, SG, AS) fm-dyn-111-95-244-174.fast.net.id                                                                   
S&T (7632)  australia-singapore-cable-asc ✓ || indigo-west ✓ || indonesia-global-gateway-igg-system ✓ || jakarta-bangka-bintan-batam-singapore-b3js ✘ || seamewe-3 ✓ || matrix-cable-system ✘ || jasuka ✓ || b2js-jakarta-bangka-batam-singapore-cable-system ✘ || jakabare ✓
╰─ 111.95.246.74   7632    119.347                      (Batam, Riau, ID, AS) fm-dyn-111-95-246-74.fast.net.id                                                                    
   202.152.153.9   23951   118.901                      (Babadan, JT, ID, AS) 202-152-153-9.as23951.net                                                                           
   202.152.129.74  23951   119.462           (Yogyakarta, Yogyakarta, ID, AS) 202-152-129-74.citra.net.id                                                                         
