   103.170.232.152 142616  0.0                         (Tokyo, Tokyo, JP, AS) user-103-170-232-152.nrt04.jp.misaka.io                                                             
   ***             *       -inf                                           *** *                                                                                                   
   103.170.232.2   142616  0.251                       (Tokyo, Tokyo, JP, AS) spine1.nrt04.jp.misaka.io                                                                           
   199.119.64.136  969     0.197                       (Tokyo, Tokyo, JP, AS) e53-10.cr1a.eqty8.nrt4.jp.917.as                                                                    
   160.202.164.140 137409  0.229                       (Tokyo, Tokyo, JP, AS)                                                                                                     
   206.148.24.34   7578    0.276                       (Tokyo, Tokyo, JP, AS) po50-2.ty-eqxty8-cr2.globalsecurelayer.com                                                          
   206.148.24.47   7578    0.307                       (Tokyo, Tokyo, JP, AS) po2.ty-eqxty8-bb5.globalsecurelayer.com                                                             
╭─ 206.148.24.50   7578    0.247                       (Tokyo, Tokyo, JP, AS) e52.ty-eqxty8-bb5.globalsecurelayer.com                                                             
S (7578)  japan-u-s-cable-network-jus ✘ || tata-tgn-pacific ✘ || pacific-crossing-1-pc-1 ✘ || faster ✘ || jupiter ✘
╰─ 206.148.25.85   7578    97.693           (Los Angeles, California, US, NA) e50.lax-csla2-bb1.globalsecurelayer.com                                                             
   206.148.25.18   7578    105.24                  (Phoenix, Arizona, US, NA) e49.phx-pnap-bb1.globalsecurelayer.com                                                              
   206.148.25.22   7578    143.163           (University Park, Texas, US, NA) e50.dal-eqxda11-bb1.globalsecurelayer.com                                                           
   4.30.105.238    19750   133.76                       (Houston, TX, US, NA) CRITEO.bear2.Houston1.Level3.net                                                                    
   ***             *       -inf                                           *** *                                                                                                   
   74.119.118.196  19750   129.668                    (Dallas, Texas, US, NA)                                                                                                     
   74.119.118.17   19750   129.667                    (Dallas, Texas, US, NA)                                                                                                     
