   102.130.66.11   37468   0.0                       (Luanda, Luanda, AO, AF)                                                                                                     
   102.130.66.1    37468   0.367                     (Luanda, Luanda, AO, AF)                                                                                                     
   102.130.69.247  37468   0.896                     (Luanda, Luanda, AO, AF)                                                                                                     
   102.130.68.111  37468   1.978                     (Luanda, Luanda, AO, AF)                                                                                                     
╭─ 102.130.68.138  37468   36.536                        (None, None, AO, AF) *                                                                                                   
S (37468)  west-africa-cable-system-wacs 👍 || sat-3wasc ✓
╰─ 102.130.68.69   37468   136.038                   (Lisbon, Lisbon, PT, EU)                                                                                                     
   185.1.131.36    *       136.162              (Prior Velho, Lisbon, PT, EU) de-cix.lis.ptservidor.pt                                                                            
   185.222.11.4    62416   3496.964                  (Lisbon, Lisbon, PT, EU) core.bfsw1.lis1.ptservidor.net                                                                      
   185.32.189.249  62416   148.51                  (Odivelas, Lisbon, PT, EU) pt-lis-as62416.anchors.atlas.ripe.net                                                               
