   87.253.184.92   35258   0.0                     (Hamburg, Hamburg, DE, EU) de-ham-as35258.akqui.net                                                                            
   87.253.184.90   35258   0.63                    (Hamburg, Hamburg, DE, EU) ae-10-380.pe-fbrc3.ham02.de.akqui.net                                                               
   185.102.104.222 *       0.474                   (Hamburg, Hamburg, DE, EU) et-0-0-8.p-backbone1.ham02.de.akqui.net                                                             
   185.102.104.190 *       0.801                   (Hamburg, Hamburg, DE, EU) ae-2.p-backbone1.nor01.de.akqui.net                                                                 
   185.102.104.113 *       0.836                   (Hamburg, Hamburg, DE, EU) et-0-0-0.pe-irxc2.ham42.de.akqui.net                                                                
   185.1.210.35    *       1.028                   (Hamburg, Hamburg, DE, EU) hhb002isp006.versatel.de                                                                            
   62.214.137.217  8881    0.94                          (Berlin, BE, DE, EU) *                                                                                                   
   62.214.137.218  200567  3.481 (6.405)         (Frankfurt am Main, HE, DE, EU) fra1ik113.versatel.de                                                                               
   185.70.144.118  200567  3.634 (6.023)              (Hamburg, Hamburg, DE, EU)                                                                                                     
