   150.164.1.222   271354  0.0         (Belo Horizonte, Minas Gerais, BR, SA) ripeatlas-anchor.dcc.ufmg.br                                                                        
   150.164.1.193   271354  0.607       (Belo Horizonte, Minas Gerais, BR, SA) chronos-labexternos.dcc.ufmg.br                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   150.164.164.132 271354  1.312       (Belo Horizonte, Minas Gerais, BR, SA)                                                                                                     
   150.164.164.42  271354  1.028       (Belo Horizonte, Minas Gerais, BR, SA)                                                                                                     
   200.19.158.0    1916    0.959       (Belo Horizonte, Minas Gerais, BR, SA) ufmg-20g-1-gw.pop-mg.rnp.br                                                                         
   200.131.0.142   1916    0.883       (Belo Horizonte, Minas Gerais, BR, SA) ptp-almeirao-tropeiro.pop-mg.rnp.br                                                                 
   200.143.255.173 1916    1.402       (Belo Horizonte, Minas Gerais, BR, SA) cmg2-lanmg2.bkb.rnp.br                                                                              
   170.79.213.134  *       1.761       (Belo Horizonte, Minas Gerais, BR, SA)                                                                                                     
   170.79.213.154  *       20.446      (Belo Horizonte, Minas Gerais, BR, SA) cba1-cmg1-100g-infobarra.bkb.rnp.br                                                                 
   170.79.213.31   1916    32.78                         (None, None, BR, SA) *                                                                                                   
   170.79.213.139  *       32.539    (Rio de Janeiro, Rio de Janeiro, BR, SA) cce2-cce1.bkb.rnp.br                                                                                
╭─ 170.79.213.47   *       97.092      (Belo Horizonte, Minas Gerais, BR, SA) mia2-cce2-monet.bkb.rnp.br                                                                          
S (, 174)  
╰─ 38.88.165.65    174     96.912                         (Miami, FL, US, NA) te0-1-0-5-4.ccr21.mia03.atlas.cogentco.com                                                          
   154.54.88.233   174     96.915                    (Miami, Florida, US, NA) be3087.ccr22.mia01.atlas.cogentco.com                                                               
   154.54.28.49    174     109.592                      (Atlanta, GA, US, NA) be3483.ccr42.atl01.atlas.cogentco.com                                                               
   154.54.82.210   19256   109.97                       (Atlanta, GA, US, NA) be2127.rcr51.b009789-2.atl01.atlas.cogentco.com                                                     
   38.140.47.10    3356    109.979                      (Atlanta, GA, US, NA) *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   144.202.18.114  20473   111.468                 (Atlanta, Georgia, US, NA) 144.202.18.114.vultrusercontent.com                                                                 
