   217.168.87.54   34087   0.0                 (Trondheim, Trøndelag, NO, EU)                                                                                                     
   217.168.87.225  34087   1.185         (Stjørdalshalsen, Trøndelag, NO, EU) ip225.as49271.net                                                                                   
   178.164.9.141   34087   2.039         (Stjørdalshalsen, Trøndelag, NO, EU) 178.164.9.141.3p.ntebredband.no                                                                     
╭─ 89.151.232.141  34087   25.716                        (Namsos, 50, NO, EU) 89.151.232.141.nteb.no                                                                              
S (34087, 43414)  
╰─ 80.249.212.0    43414   26.434                      (Schiphol, NH, NL, EU) hu-0-3-3.cr1a.nkhf-asd.h2b.nl                                                                       
   185.185.244.250 43995   26.234                      (Ubbergen, GE, NL, EU) tr4-202.cr1.redb-hvs.h2b.nl                                                                         
   185.185.244.251 49784   30.177                      (Ubbergen, GE, NL, EU) cr1.ap05-vdm.netvisit.nl                                                                            
   46.244.63.74    49784   30.084                (Veendam, Groningen, NL, EU)                                                                                                     
   46.244.63.73    49784   29.045                (Veendam, Groningen, NL, EU)                                                                                                     
