   138.186.10.34   52511   0.0       (Santiago, Santiago Metropolitan, CL, SA) 34.10.186.138.static.hostednode.net                                                                 
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   192.168.201.58  *       0.649                                          ***                                                                                                     
   192.168.201.58  *       0.649                                          ***                                                                                                     
   190.215.219.152 14259   1.402     (La Pintana, Santiago Metropolitan, CL, SA) static.190.215.219.152.gtdinternet.com                                                              
   190.196.126.77  14259   1.63                        (Santiago, RM, CL, SA) re1.et2-2-0.53.cn1.gtdinternet.com                                                                  
   190.196.23.148  14259   1.808     (Santiago, Santiago Metropolitan, CL, SA) static.190.196.23.148.gtdinternet.com                                                               
   200.16.114.31   27678   3.676                         (None, None, CL, SA) ciscoa1i.nic.cl                                                                                     
   200.1.122.55    27678   3.95      (Santiago, Santiago Metropolitan, CL, SA) unassigned.nic.cl                                                                                   
