   170.39.227.194  917     0.0                  (Seattle, Washington, US, NA) us-sea-as57695.anchors.atlas.ripe.net                                                               
   ***             *       -inf                                           *** *                                                                                                   
   170.39.227.2    917     0.283                (Seattle, Washington, US, NA) v210.cr01.sea02.us.misaka.io                                                                        
   84.17.33.8      60068   0.321                (Seattle, Washington, US, NA) po77-3528.cr01.sea02.us.misaka.io                                                                   
   38.88.253.217   174     0.843                (Seattle, Washington, US, NA) be5985.ccr22.sea02.atlas.cogentco.com                                                               
   154.54.0.241    174     19.186                 (San Francisco, CA, US, NA) be2077.ccr22.sfo01.atlas.cogentco.com                                                               
   154.54.43.150   174     20.543                      (San Jose, CA, US, NA) be3179.ccr22.sjc01.atlas.cogentco.com                                                               
   154.54.90.186   174     20.742              (San Jose, California, US, NA) be2298.rcr51.b034314-0.sjc01.atlas.cogentco.com                                                     
   38.88.38.154    20473   20.786                        (Monroe, VA, US, NA) *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   149.28.210.233  20473   22.107           (Santa Clara, California, US, NA) 149.28.210.233.vultrusercontent.com                                                                 
