   192.42.97.214   8473    0.0                         (Malmö, Skåne, SE, EU) se-mma-as8473.anchors.atlas.ripe.net                                                                
   192.42.97.213   8473    0.693                       (Malmö, Skåne, SE, EU)                                                                                                     
   176.10.179.82   8473    4.74                        (Malmö, Skåne, SE, EU) mmo-cr4.mmo-cr2.bahnhof.net                                                                         
   46.59.112.134   8473    4.748                   (Gothenburg, None, SE, EU) mmo-cr2.gbg-cr5.bahnhof.net                                                                         
   46.59.113.219   8473    4.756                   (Gothenburg, None, SE, EU) gbg-cr5.gbg-cr3.bahnhof.net                                                                         
   195.128.255.70  3399    4.676        (Landvetter, Västra Götaland, SE, EU) eth1-5.got-shg5-2.obe.net                                                                           
   195.128.254.18  3399    4.527           (Andalen, Västra Götaland, SE, EU) ae0-350.got-shg5.obe.net                                                                            
   185.242.229.117 3399    5.72 (885.677)                  (Malmö, Skåne, SE, EU) po6-12.mma-vg4.obe.net                                                                              
   46.227.64.211   60396   5.712                         (None, None, SE, EU) xe-0-1-1-704-demarc.mal-vg4.obenetwork.net                                                          
   91.209.0.21     60396   5.758                       (Malmö, Skåne, SE, EU) se-lud-as60396.anchors.atlas.ripe.net                                                               
