   193.50.97.164   2200    0.0                   (Plouzané, Brittany, FR, EU) anchor.netlab.enstb.org                                                                             
   ***             *       -inf                                           *** *                                                                                                   
   192.108.116.201 50897   57.297                (Plouzané, Brittany, FR, EU) asr-vlan39.enst-bretagne.fr                                                                         
   193.51.188.10   2200    39.577            (Saint-Brieuc, Brittany, FR, EU) vl807-pc1-brest1-rtr-021.noc.renater.fr                                                             
   193.51.177.174  2200    47.15               (Paris, Île-de-France, FR, EU) et-5-2-1-ren-nr-paris1-rtr-131.noc.renater.fr                                                       
   77.67.123.205   3257    41.554                        (Paris, IDF, FR, EU) ae7-81.cr4-par7.ip4.gtt.net                                                                         
╭─ 89.149.182.210  3257    64.407                        (Paris, IDF, FR, EU) et-10-1-0.cr0-par2.ip4.gtt.net                                                                      
T (3257, 3356)  
╰─ 154.14.26.206   3356    30.856                     (Darmstadt, HE, DE, EU) ip4.gtt.net                                                                                         
   171.75.8.161    3356    54.787                  (Hamburg, Hamburg, DE, EU) ae1.7.edge4.ham1.neo.colt.net                                                                       
   62.67.25.18     61157   43.724                       (Hamburg, HH, DE, EU) *                                                                                                   
   85.119.200.202  61157   59.682                       (Hamburg, HH, DE, EU) ae7.cr2.ham5.plusserver.com                                                                         
   85.119.200.130  61157   49.372                  (Hamburg, Hamburg, DE, EU) be1.er0.ham5.plusserver.com                                                                         
   ***             *       -inf                                           *** *                                                                                                   
   212.116.21.241  6659    36.936    (Norderstedt, Schleswig-Holstein, DE, EU)                                                                                                     
   212.116.14.178  6659    36.898                  (Hamburg, Hamburg, DE, EU)                                                                                                     
