   103.133.238.187 132808  0.0                 (Brisbane, Queensland, AU, OC) iptelco.com.au                                                                                      
   103.133.238.130 132808  0.292               (Brisbane, Queensland, AU, OC) vmnet-hsrp66.bdr01-bne-br1.iptelco.net.au                                                           
   103.133.238.14  132808  0.494               (Brisbane, Queensland, AU, OC) te0-0-0-402.bdr01-bne-br1.iptelco.net.au                                                            
╭─ 103.26.68.218   55850   11.845                       (Sydney, NSW, AU, OC) as55850.sydney.megaport.com                                                                         
S (55850)  tasman-global-access-tga-cable ✘ || southern-cross-cable-network-sccn ✘ || hawaiki ✘
╰─ 116.251.184.88  55850   35.224                (Auckland, Auckland, NZ, OC) et-0-0-16.esy3-p-1.as55850.net                                                                      
   116.251.185.234 55850   35.159                     (Tauranga, BOP, NZ, OC) et-0-0-10.atc-p-1.as55850.net                                                                       
   116.251.187.224 55850   35.285                (Auckland, Auckland, NZ, OC) ip-116-251-187-224.kinect.net.nz                                                                    
   116.251.187.225 55850   34.955                (Auckland, Auckland, NZ, OC) ip-116-251-187-225.kinect.net.nz                                                                    
   185.121.168.251 61138   34.985               (Newmarket, Auckland, NZ, OC) nz-akl-as61138.anchors.atlas.ripe.net                                                               
