   102.220.178.25  328829  0.0              (Cape Town, Western Cape, ZA, AF) unknown.vumatel.co.za                                                                               
   102.220.178.30  328829  0.273            (Cape Town, Western Cape, ZA, AF) unknown.vumatel.co.za                                                                               
   102.220.179.117 328829  0.696            (Cape Town, Western Cape, ZA, AF) unknown.vumatel.co.za                                                                               
   102.220.178.117 328829  0.818            (Cape Town, Western Cape, ZA, AF) rnd-br1-sfp28-1-882.vumatel.co.za                                                                   
   102.220.177.105 328829  22.271                (Diepsloot, Gauteng, ZA, AF) tri-br2-sfp2-834.vumatel.co.za                                                                      
   102.220.177.114 328829  22.146                 (Pretoria, Gauteng, ZA, AF) tri-br1-sfp28-2-861.vumatel.co.za                                                                   
   102.220.177.126 328829  23.714             (Johannesburg, Gauteng, ZA, AF) smr-br1-sfp10-833.vumatel.co.za                                                                     
   196.60.96.99    *       22.489             (Johannesburg, Gauteng, ZA, AF) xneelo-2.jinx.net.za                                                                                
   197.189.193.1   37153   58.202                       (Sandton, GP, ZA, AF) core-access-switch1.jnb1.host-h.net                                                                 
   197.189.194.147 37153   22.859             (Johannesburg, Gauteng, ZA, AF) atlas-anchor-jnb1.jnb.net.host-h.net                                                                
