   80.67.190.218   204092  0.0                     (Rennes, Brittany, FR, EU) ripe-anchor.grifon.fr                                                                               
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   31.172.233.208  30781   2.078     (Marseille, Provence-Alpes-Côte d'Azur, FR, EU) po6-54.er01.ren02.jaguar-network.net                                                                
   195.234.35.77   30781   7.157               (Paris, Île-de-France, FR, EU) be2.er04.par01.jaguar-network.net                                                                   
╭─ 37.49.236.17    9002    7.278                         (Paris, IDF, FR, EU) retn.par.franceix.net                                                                               
S&T (9002)  
╰─ 87.245.234.34   9002    11.416                     (Brussels, BRU, BE, EU) et003-6.RT.IRX.BRU.BE.retn.net                                                                      
   87.245.230.147  9002    16.179                (Nossegem, Flanders, BE, EU) gw-as212882.retn.net                                                                                
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
