   45.87.76.6      208725  0.0           (Brussels, Brussels Capital, BE, EU) ansible.devrandom.be                                                                                
   45.87.79.251    208725  0.284         (Brussels, Brussels Capital, BE, EU) router01.sw1.core.devrandom.be                                                                      
   ***             *       -inf                                           *** *                                                                                                   
   109.233.104.96  48408   0.69       (Sint-Stevens-Woluwe, Flanders, BE, EU)                                                                                                     
╭─ 149.11.170.97   174     1.225         (Brussels, Brussels Capital, BE, EU) te0-3-0-3-2.201.rcr21.bru01.atlas.cogentco.com                                                      
S&T (174)  
╰─ 154.54.57.165   174     6.02                          (Paris, IDF, FR, EU) be3675.ccr42.par01.atlas.cogentco.com                                                               
   130.117.3.54    174     14.383            (Bordeaux/Merignac, NAQ, FR, EU) be3051.rcr71.bod01.atlas.cogentco.com                                                               
   154.25.0.70     174     14.369            (Bordeaux/Merignac, NAQ, FR, EU) te0-0-2-0.nr11.b015544-0.bod01.atlas.cogentco.com                                                   
   149.6.44.18     198985  13.754                     (Bordeaux, NAQ, FR, EU) aquilenet.demarc.cogentco.com                                                                       
   185.233.100.99  198985  14.102      (Bordeaux, Nouvelle-Aquitaine, FR, EU) ripe-atlas.aquilenet.fr                                                                             
