   103.23.232.7    58475   0.0        (Banjarmasin, South Kalimantan, ID, AS)                                                                                                     
   103.23.232.1    58475   0.291      (Banjarmasin, South Kalimantan, ID, AS)                                                                                                     
╭─ 36.93.255.177   7713    0.291 (2.505)                   (Batam, Riau, ID, AS)                                                                                                     
S&T (7713)  s-u-b-cable-system 👍 ↠ australia-singapore-cable-asc ✓ || jaka2ladema 👍 ↠ jakabare ✓ || jaka2ladema 👍 ↠ jasuka 👍 || s-u-b-cable-system 👍 ↠ matrix-cable-system ✘ || s-u-b-cable-system 👍 ↠ b2js-jakarta-bangka-batam-singapore-cable-system ✘ || s-u-b-cable-system 👍 ↠ indonesia-global-gateway-igg-system 👍 || s-u-b-cable-system 👍 ↠ seamewe-3 ✓ || s-u-b-cable-system 👍 ↠ jasuka 👍 || s-u-b-cable-system 👍 ↠ indigo-west ✓ || s-u-b-cable-system 👍 ↠ jakarta-bangka-bintan-batam-singapore-b3js ✘ || s-u-b-cable-system 👍 ↠ jakabare ✓
╰─ 180.240.193.93  7713    18.478              (Singapore, Singapore, SG, AS)                                                                                                     
   180.240.193.93  7713    18.478              (Singapore, Singapore, SG, AS)                                                                                                     
   180.240.205.82  7713    19.701              (Singapore, Singapore, SG, AS)                                                                                                     
   4.68.68.57      3356    20.284              (Singapore, Singapore, SG, AS) ae-31.edge3.singapore3.level3.net                                                                   
   5.199.164.2     216444  20.172              (Singapore, Singapore, SG, AS)                                                                                                     
   5.199.167.27    216444  20.627              (Singapore, Singapore, SG, AS)                                                                                                     
