   185.78.49.100   201333  0.0             (Piacenza, Emilia-Romagna, IT, EU) it-pcz-as201333.anchors.atlas.ripe.net                                                              
   185.78.49.5     201333  0.218            (Gerbido, Emilia-Romagna, IT, EU) lf01b5-vlan902.pia1.naquadria.net                                                                   
   185.78.48.242   201333  0.222            (Gerbido, Emilia-Romagna, IT, EU) ens1f4d3-910-r02.pia1.naquadria.net                                                                 
   185.78.48.150   201333  4.533           (Piacenza, Emilia-Romagna, IT, EU) ens1f4-911-r01.pad.naquadria.net                                                                    
╭─ 87.245.241.128  9002    4.799           (Piacenza, Emilia-Romagna, IT, EU) ae0-202.rt.vsx.pda.it.retn.net                                                                      
S&T (9002)  
╰─ 87.245.233.191  9002    30.095                         (Madrid, M, ES, EU) ae2-4.RT.IRX.MAD.ES.retn.net                                                                        
   193.149.1.26    766     30.521                      (Madrid, 29, ES, None) rediris.baja.espanix.net                                                                            
   130.206.245.25  766     30.744                        (None, None, ES, EU) ciemat.rt2.ethtrunk1.telmad.rt1.mad.red.rediris.es                                                  
   130.206.216.2   766     31.17                         (None, None, ES, EU) redimadrid-backup-router.red.rediris.es                                                             
   193.145.15.50   766     31.486                        (None, None, ES, EU) uc3m-rt-ju-01-xe-0-1-0.net.redimadrid.es                                                            
   ***             *       -inf                                           *** *                                                                                                   
   163.117.49.4    766     31.827                        (Madrid, MD, ES, EU) b01014zr.uc3m.es                                                                                    
   163.117.253.5   766     32.209                    (Madrid, Madrid, ES, EU)                                                                                                     
