   199.47.174.227  12110   0.0                       (Tampa, Florida, US, NA) atlas-anchor.tampa.coop                                                                             
   199.47.174.225  12110   1.546                     (Tampa, Florida, US, NA) vlan-200.coop-stack.tampa.coop                                                                      
   66.216.50.41    19151   1.087                     (Tampa, Florida, US, NA)                                                                                                     
   66.216.2.13     19151   5.403               (South Plainfield, NJ, US, NA) *                                                                                                   
╭─ 206.41.108.146  7195    5.999                         (None, None, US, NA) *                                                                                                   
LHL (7195)  pacific-caribbean-cable-system-pccs ✓ || america-movil-submarine-cable-system-1-amx-1 ✓ || arcos ✓ || colombia-florida-subsea-fiber-cfx-1 ✓ || south-america-1-sam-1 ✘ || globenet ✓ || maya-1 ✓
╰─ 200.25.51.188   7195    82.315               (Lima, Lima Province, PE, SA) ae1051.0.edge2.lim1.as7195.net                                                                      
   38.56.125.13    64116   82.401               (Lima, Lima Province, PE, SA)                                                                                                     
   45.183.45.1     64116   82.372               (Lima, Lima Province, PE, SA)                                                                                                     
   45.183.45.23    64116   83.428               (Lima, Lima Province, PE, SA)                                                                                                     
