   104.131.160.184 14061   0.0                  (Clifton, New Jersey, US, NA) us-nyc-as14061.anchors.atlas.ripe.net                                                               
   ***             *       -inf                                           *** *                                                                                                   
   10.74.132.59    *       0.491                                          ***                                                                                                     
   138.197.248.232 *       0.841            (New York City, New York, US, NA)                                                                                                     
   138.197.248.54  *       0.465            (New York City, New York, US, NA)                                                                                                     
   138.197.244.36  *       1.095            (New York City, New York, US, NA)                                                                                                     
   157.238.179.69  2914    0.994            (New York City, New York, US, NA) ce-3-1-0.a02.nycmny17.us.bb.gin.ntt.net                                                             
   129.250.8.230   1299    2.162                         (None, None, US, NA) ae-0.arelion.nycmny17.us.bb.gin.ntt.net                                                             
   62.115.135.130  1299    2.31                  (Newark, New Jersey, US, NA) nyk-bb1-link.ip.twelve99.net                                                                        
   62.115.141.244  1299    7.799                  (Ashburn, Virginia, US, NA) rest-bb1-link.ip.twelve99.net                                                                       
   62.115.138.71   1299    24.513                  (Atlanta, Georgia, US, NA) atl-bb1-link.ip.twelve99.net                                                                        
   62.115.134.111  1299    24.477                  (Atlanta, Georgia, US, NA) atl-b6-link.ip.twelve99.net                                                                         
   213.248.96.151  1299    24.295                  (Atlanta, Georgia, US, NA) constantcompany-ic-357478.ip.twelve99-cust.net                                                      
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   144.202.18.114  20473   24.182                  (Atlanta, Georgia, US, NA) 144.202.18.114.vultrusercontent.com                                                                 
