   185.225.24.25   64289   0.0                      (London, England, GB, EU)                                                                                                     
   185.225.24.1    64289   0.233                    (Poplar, England, GB, EU) mx1.lon.macarne.com                                                                                 
   213.248.99.26   1299    0.674                    (Poplar, England, GB, EU) ldn-b3-link.ip.twelve99.net                                                                         
╭─ 62.115.120.74   1299    1.332                    (Poplar, England, GB, EU) ldn-bb1-link.ip.twelve99.net                                                                        
S&T (1299)  circe-north ✓ || scylla ✘ || ulysses-2 ✘ || zeus ✓ || concerto ✘ || farland-north ✘
╰─ 213.155.136.99  1299    6.911           (Amsterdam, North Holland, NL, EU) adm-bb1-link.ip.twelve99.net                                                                        
   62.115.138.167  1299    6.868           (Amsterdam, North Holland, NL, EU) adm-b3-link.ip.twelve99.net                                                                         
   62.115.179.163  1299    6.825           (Amsterdam, North Holland, NL, EU) wikimedia-ic-381309.ip.twelve99-cust.net                                                            
   185.15.59.155   14907   3492.911        (Amsterdam, North Holland, NL, EU) et-0-0-48.asw1-by27-esams.wikimedia.org                                                             
   185.15.59.74    14907   7.137           (Amsterdam, North Holland, NL, EU) atlas3001.wikimedia.org                                                                             
