   185.233.100.99  198985  0.0         (Bordeaux, Nouvelle-Aquitaine, FR, EU) ripe-atlas.aquilenet.fr                                                                             
   185.233.100.124 198985  0.274          (Cenon, Nouvelle-Aquitaine, FR, EU) charon1.aquilenet.fr                                                                                
   149.6.44.17     174     0.981          (Cenon, Nouvelle-Aquitaine, FR, EU) gi0-0-1-1.nr11.b015544-0.bod01.atlas.cogentco.com                                                   
   154.25.0.69     174     1.226          (Cenon, Nouvelle-Aquitaine, FR, EU) te0-0-0-25.rcr71.bod01.atlas.cogentco.com                                                           
   130.117.3.1     174     9.162               (Paris, Île-de-France, FR, EU) be3039.ccr41.par01.atlas.cogentco.com                                                               
   213.155.141.226 1299    9.099               (Paris, Île-de-France, FR, EU) prs-b6-link.ip.twelve99.net                                                                         
╭─ 62.115.125.118  1299    9.665               (Paris, Île-de-France, FR, EU) prs-bb1-link.ip.twelve99.net                                                                        
T (1299)  
╰─ 62.115.123.12   1299    17.776          (Frankfurt am Main, Hesse, DE, EU) ffm-bb1-link.ip.twelve99.net                                                                        
   62.115.124.117  1299    17.955          (Frankfurt am Main, Hesse, DE, EU) ffm-b11-link.ip.twelve99.net                                                                        
   62.115.147.233  1299    18.196          (Frankfurt am Main, Hesse, DE, EU) as33891-ic-331888.ip.twelve99-cust.net                                                              
   80.255.14.5     201011  18.262             (Frankfurt am Main, HE, DE, EU) ae14-2021.fra10.core-backbone.com                                                                   
   5.56.20.54      15817   165.241                       (None, None, DE, EU) *                                                                                                   
   178.16.60.129   15817   25.111                        (None, None, DE, EU) *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
