   190.124.192.162 28109   0.0           (Bahía Blanca, Buenos Aires, AR, SA) anchorr.criba.edu.ar                                                                                
   190.124.192.129 28109   0.433         (Bahía Blanca, Buenos Aires, AR, SA) gatevm.criba.edu.ar                                                                                 
   190.124.210.20  28109   0.569         (Bahía Blanca, Buenos Aires, AR, SA)                                                                                                     
   190.124.210.6   28109   0.699         (Bahía Blanca, Buenos Aires, AR, SA) rtmetro6.criba.edu.ar                                                                               
   ***             *       -inf                                           *** *                                                                                                   
   8.243.19.6      3356    7.814     (Buenos Aires, Buenos Aires F.D., AR, SA) 8-243-19-6.gblx.net.ar                                                                              
╭─ 8.243.19.5      3356    8.829     (Buenos Aires, Buenos Aires F.D., AR, SA) 8-243-19-5.gblx.net.ar                                                                              
S (3356)  south-america-1-sam-1 ✓
╰─ 4.69.146.77     3356    133.34                        (None, None, US, NA) *                                                                                                   
   4.15.154.166    3356    141.285                   (Miami, Florida, US, NA) choopa-llc.ear2.miami2.level3.net                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   207.246.74.246  20473   140.799                   (Miami, Florida, US, NA) 207.246.74.246.vultrusercontent.com                                                                 
