   82.148.224.6    25376   0.0                      (Bolton, England, GB, EU)                                                                                                     
   82.148.224.193  25376   0.661                    (Bolton, England, GB, EU) vl16.ds-193.netnorth.net.uk                                                                         
   82.148.224.3    25376   0.386                         (None, None, GB, EU) Po1-16.asr-bol23.netnorth.net.uk                                                                    
   82.148.224.2    25376   0.74                 (Manchester, England, GB, EU) po1-16.asr-ma1.netnorth.net.uk                                                                      
   77.67.83.241    3257    0.874                    (Bolton, England, GB, EU) ae1-69.cr1-man1.ip4.gtt.net                                                                         
   89.149.142.13   3257    0.794 (5.724)                   (London, ENG, GB, EU) ae1.cr13-lon1.ip4.gtt.net                                                                           
   212.221.80.242  3257    6.595                   (Stepney, England, GB, EU) ip4.gtt.net                                                                                         
   156.146.32.95   60068   6.538                    (Poplar, England, GB, EU)                                                                                                     
   103.170.154.254 142594  6.734                    (London, England, GB, EU) 254.154.170.103.speedyvps.uk                                                                        
