   206.196.178.150 10886   0.0                     (Reston, Virginia, US, NA) us-xqm-as10886.anchors.atlas.ripe.net                                                               
   206.196.178.149 10886   0.336             (Pimmit Hills, Virginia, US, NA)                                                                                                     
   38.122.166.5    174     0.932                     (Washington, DC, US, NA) be4467.nr11.b005897-1.dca01.atlas.cogentco.com                                                      
   154.24.64.181   174     1.176                     (Washington, DC, US, NA) te0-0-0-5.agr21.dca01.atlas.cogentco.com                                                            
   154.54.81.141   174     1.398                     (Washington, DC, US, NA) be3308.ccr41.dca01.atlas.cogentco.com                                                               
   154.54.7.158    174     17.599                       (Atlanta, GA, US, NA) be2112.ccr41.atl01.atlas.cogentco.com                                                               
   154.54.24.146   174     30.646                         (Miami, FL, US, NA) be3482.ccr21.mia01.atlas.cogentco.com                                                               
   154.54.88.226   174     30.271                    (Miami, Florida, US, NA) be3081.ccr41.mia03.atlas.cogentco.com                                                               
   169.254.0.218   *       30.499                                         ***                                                                                                     
   10.255.81.196   *       30.889                                         ***                                                                                                     
   92.223.107.231  199610  30.374                         (Miami, FL, US, NA) *                                                                                                   
   109.230.214.3   199610  31.861                    (Miami, Florida, US, NA)                                                                                                     
