   212.45.159.245  8816    0.0                      (Milan, Lombardy, IT, EU) it-mil-as8816.anchors.atlas.ripe.net                                                                
   212.45.159.246  8816    0.888                    (Milan, Lombardy, IT, EU) asr-luc1-gi7.metrolink.it                                                                           
   212.45.137.158  8816    1.184                    (Milan, Lombardy, IT, EU) asr-sal1-te25.metrolink.it                                                                          
   212.45.137.190  8816    1.223                    (Milan, Lombardy, IT, EU) br-mix-te12.metrolink.it                                                                            
   212.45.159.5    8816    1.232                         (Milan, 9, IT, None) br-see-fo21.metrolink.it                                                                            
   185.1.114.51    *       0.524                   (Figino, Lombardy, IT, EU) naquadria2.minap.it                                                                                 
   185.78.48.22    201333  1.781                    (Milan, Lombardy, IT, EU) ens1f4-920-r02.pia1.naquadria.net                                                                   
   185.78.48.244   201333  1.985                      (Parabiago, 25, IT, EU) lf01b5-vlan910.pia1.naquadria.net                                                                   
   185.78.49.100   201333  2.03            (Piacenza, Emilia-Romagna, IT, EU) it-pcz-as201333.anchors.atlas.ripe.net                                                              
