   37.10.41.14     202196  0.0                 (Singapore, Singapore, SG, AS)                                                                                                     
   37.10.41.9      202196  0.589               (Singapore, Singapore, SG, AS)                                                                                                     
   210.57.30.93    4637    1.885               (Singapore, Singapore, SG, AS) unknown.telstraglobal.net                                                                           
   202.84.244.42   4637    3.677               (Singapore, Singapore, SG, AS) i-91.sgpl-core03.telstraglobal.net                                                                  
   202.84.224.190  4637    2.748               (Singapore, Singapore, SG, AS) i-93.istt04.telstraglobal.net                                                                       
   134.159.95.126  4637    2.046               (Singapore, Singapore, SG, AS) tisparkle-peer.istt04.pr.telstraglobal.net                                                          
   93.186.133.95   6762    2.184               (Singapore, Singapore, SG, AS)                                                                                                     
   93.186.133.210  6762    2.141               (Singapore, Singapore, SG, AS)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   45.87.135.252   208398  2.236               (Singapore, Singapore, SG, AS)                                                                                                     
