   46.30.208.71    51468   0.0           (Copenhagen, Capital Region, DK, EU)                                                                                                     
   46.30.208.70    51468   0.478           (Taastrup, Capital Region, DK, EU) ge-0-3-8-499.cr2-cph3.pub.network.one.com                                                           
   62.115.172.5    1299    0.649           (Taastrup, Capital Region, DK, EU) onecomgroup-ic-380844.ip.twelve99-cust.net                                                          
   62.115.172.4    1299    1.073         (Copenhagen, Capital Region, DK, EU) kbn-b1-link.ip.twelve99.net                                                                         
╭─ 62.115.138.112  1299    0.953 (2.276)    (Copenhagen, Capital Region, DK, EU) kbn-bb6-link.ip.twelve99.net                                                                        
S (1299)  atlantic-crossing-1-ac-1 ✓ || havfrueaec-2 ✓
╰─ 80.91.254.91    1299    95.575           (New York City, New York, US, NA) nyk-bb2-link.ip.twelve99.net                                                                        
   62.115.135.133  1299    79.943           (New York City, New York, US, NA) nyk-b1-link.ip.twelve99.net                                                                         
   62.115.147.199  1299    80.364           (New York City, New York, US, NA) edgio-ic-317659.ip.twelve99-cust.net                                                                
   152.195.68.35   15133   79.453           (New York City, New York, US, NA)                                                                                                     
