   141.193.21.100  46997   0.0                  (Seattle, Washington, US, NA) us-sea-as46997.anchors.atlas.ripe.net                                                               
   141.193.21.97   46997   0.203               (Riverton, Washington, US, NA) r-north-america.iov.nat.moe                                                                         
   202.5.31.217    201106  0.452               (Riverton, Washington, US, NA)                                                                                                     
╭─ 206.81.81.177   852     0.758                      (Seattle, WA, US, None) six2.bb.telus.com                                                                                   
S&T (852)  alaska-united-west-au-west ✘ ↠ ketchcan1-submarine-fiber-cable-system ✘
╰─ 96.1.214.149    852     3.973 (77.833)                    (None, None, CA, NA) *                                                                                                   
   209.121.102.129 14007   3.948                         (Surrey, BC, CA, NA) *                                                                                                   
   216.251.132.66  14007   4.016                          (Delta, BC, CA, NA) tranAvan2.skywaywest.net                                                                            
   216.251.158.65  395152  3.943                (North Vancouver, BC, CA, NA) *                                                                                                   
   192.102.254.220 395152  4.255        (Vancouver, British Columbia, CA, NA)                                                                                                     
