   166.0.65.4      396163  0.0                  (Seattle, Washington, US, NA)                                                                                                     
   166.0.65.3      396163  0.205                (Seattle, Washington, US, NA)                                                                                                     
   216.200.68.81   6461    0.392                (Seattle, Washington, US, NA) 0.xe-200-0-57.er1.sea3.us.zip.zayo.com                                                              
   64.125.30.172   6461    1.922                (Seattle, Washington, US, NA) ae5.cs2.sea1.us.eth.zayo.com                                                                        
   ***             *       -inf                                           *** *                                                                                                   
   208.184.12.15   1299    1.716                         (None, None, US, NA) *                                                                                                   
   62.115.132.152  1299    19.939              (San Jose, California, US, NA) sjo-b23-link.ip.twelve99.net                                                                        
   62.115.115.216  1299    20.664           (Santa Clara, California, US, NA) palo-b24-link.ip.twelve99.net                                                                       
   62.115.46.191   1299    19.708              (San Jose, California, US, NA) isc-ic-380208.ip.twelve99-cust.net                                                                  
   192.158.252.10  1280    20.243         (Mountain View, California, US, NA) us-pao-as1280.anchors.atlas.ripe.net                                                                
