   156.154.53.254  12008   0.0                         (Dubai, Dubai, AE, AS)                                                                                                     
   156.154.53.253  12008   0.162                       (Dubai, Dubai, AE, AS)                                                                                                     
   217.151.46.26   4637    0.787                       (Dubai, Dubai, AE, AS) unknown.telstraglobal.net                                                                           
╭─ 202.84.204.42   4637    0.683 (1.668)                  (Dubai, Dubai, AE, AS) i-103.uddm-core01.telstraglobal.net                                                                 
S (4637)  seamewe-3 👍 || seamewe-5 ✓
╰─ 202.84.207.189  4637    76.886              (Singapore, Singapore, SG, AS) unknown.telstraglobal.net                                                                           
   202.84.207.189  4637    76.886              (Singapore, Singapore, SG, AS) unknown.telstraglobal.net                                                                           
   202.84.219.173  4637    77.493              (Singapore, Singapore, SG, AS) i-92.sggs01.telstraglobal.net                                                                       
   210.57.30.94    4637    77.733              (Singapore, Singapore, SG, AS) unknown.telstraglobal.net                                                                           
   37.10.41.14     202196  77.854              (Singapore, Singapore, SG, AS)                                                                                                     
