   45.94.14.204    208520  0.0                (Riyadh, Riyadh Region, SA, AS)                                                                                                     
   45.94.14.193    208520  0.289              (Riyadh, Riyadh Region, SA, AS)                                                                                                     
╭─ 212.138.250.7   8895    0.699              (Riyadh, Riyadh Region, SA, AS)                                                                                                     
S (8895, 3356)  seamewe-5 ✓ || asia-africa-europe-1-aae-1 ✓ || seamewe-4 ✓ || peace-cable ✘ || imewe ✓
╰─ 213.242.126.197 3356    68.526    (Marseille, Provence-Alpes-Côte d'Azur, FR, EU) et-7-0-17-3.edge4.marseille1.level3.net                                                             
   171.75.9.75     3356    79.217              (Paris, Île-de-France, FR, EU) ae1.3102.ear2.par1.neo.colt.net                                                                     
   178.33.100.221  16276   89.402                        (None, None, FR, EU) be101-203.par-gsw-pb2-nc5.fr.eu                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   213.186.32.214  16276   95.259                        (None, None, FR, EU) be102.gra-g2-nc5.fr.eu                                                                              
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   51.255.243.207  16276   93.334        (Boeschepe, Hauts-de-France, FR, EU)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   145.239.14.84   16276   93.584        (Dunkerque, Hauts-de-France, FR, EU) fr-grv-as16276.anchors.atlas.ripe.net                                                               
