   104.131.160.184 14061   0.0                  (Clifton, New Jersey, US, NA) us-nyc-as14061.anchors.atlas.ripe.net                                                               
   ***             *       -inf                                           *** *                                                                                                   
   10.74.132.63    *       0.574                                          ***                                                                                                     
   138.197.248.246 *       1.098            (New York City, New York, US, NA)                                                                                                     
   138.197.248.56  *       0.719            (New York City, New York, US, NA)                                                                                                     
   138.197.244.36  *       1.695            (New York City, New York, US, NA)                                                                                                     
   184.104.198.154 6939    2.519            (New York City, New York, US, NA) port-channel5.core1.nyc6.he.net                                                                     
   184.104.199.222 6939    2.48             (New York City, New York, US, NA) port-channel1.core2.nyc4.he.net                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   184.104.197.54  6939    20.505                      (New York, NY, US, NA) 100ge0-79.core3.nyc4.he.net                                                                         
   216.66.23.18    6597    19.275                       (Atlanta, GA, US, NA) coloblox-llc.10gigabitethernet7-4.core1.atl1.he.net                                                 
   208.73.216.179  6597    20.529                       (Atlanta, GA, US, NA) 1-49.er20.ag1.atl1.coloblox.net                                                                     
   209.195.0.34    6597    20.549                  (Atlanta, Georgia, US, NA)                                                                                                     
