   185.251.232.156 209669  0.0                      (Bexley, England, GB, EU) 156.232.251.185.arpa.primonetwork.co.uk                                                             
   185.251.232.129 209669  0.385                    (Poplar, England, GB, EU) 1ge-0-0.edge.nc1.lon.gbr.noticor.com                                                                
   ***             *       -inf                                           *** *                                                                                                   
   91.193.116.88   201933  1.259                    (Poplar, England, GB, EU)                                                                                                     
   195.66.238.215  41000   2.205                      (London, ENG, GB, None) gi0-0-0-13.thn-rt1.uk.as41000.net                                                                   
   176.74.23.251   41000   1.774                  (Shadwell, England, GB, EU) 2.vlan.lon1-csw1.uk.as41000.net                                                                     
   176.74.23.211   41000   3.111                    (London, England, GB, EU) 0.xe-0-0-23.lon2-csw1.uk.as41000.net                                                                
   176.74.23.214   41000   8.379                (Manchester, England, GB, EU) 0.xe-0-0-23.man1-csw1.uk.as41000.net                                                                
   176.74.23.223   41000   8.924                (Manchester, England, GB, EU) 0.ae1.man1-esw1.uk.as41000.net                                                                      
   176.74.17.75    41000   8.666                (Manchester, England, GB, EU) uk-mnc-as41000.anchors.atlas.ripe.net                                                               
