   192.158.252.10  1280    0.0            (Mountain View, California, US, NA) us-pao-as1280.anchors.atlas.ripe.net                                                                
   192.158.252.3   1280    0.288              (Palo Alto, California, US, NA) r2.pao2-guests.isc.org                                                                              
   198.32.176.198  7713    189.01                        (None, None, US, NA) sw-colo-paix.telin.co.id                                                                            
   180.240.192.10  7713    189.153                     (New York, NY, US, NA) *                                                                                                   
╭─ 180.240.192.34  7713    184.856                     (New York, NY, US, NA) *                                                                                                   
S (7713)  
╰─ 36.64.254.21    7713    208.199       (Gubengairlangga, East Java, ID, AS)                                                                                                     
   36.64.254.22    7713    212.458                   (Denpasar, Bali, ID, AS)                                                                                                     
   103.215.228.2   140443  207.929              (Surabaya, East Java, ID, AS) 2.228.215.103.in-addr.herza.id                                                                      
   103.215.229.229 140443  212.595              (Surabaya, East Java, ID, AS) 229.229.215.103.in-addr.herza.id                                                                    
