   213.212.129.68  12779   0.0                      (Turin, Piedmont, IT, EU) it-trn-as12779.anchors.atlas.ripe.net                                                               
   213.212.129.65  12779   0.584                    (Turin, Piedmont, IT, EU)                                                                                                     
   213.254.30.222  12779   0.824                         (Torino, 21, IT, EU) be20.Scooby-Monster.core.TRN.itgate.net                                                             
   46.33.86.65     3257    1.472                    (Turin, Piedmont, IT, EU) xe-5-2-2.cr0-trn3.ip4.gtt.net                                                                       
   89.149.132.193  3257    2.185                    (Milan, Lombardy, IT, EU) ae2.cr6-mil2.ip4.gtt.net                                                                            
   213.254.220.58  3257    3.089                   (Figino, Lombardy, IT, EU) ip4.gtt.net                                                                                         
   195.22.218.199  6762    25.266                     (Palermo, None, IT, EU) ae1.palermo4.pal.seabone.net                                                                        
   213.144.186.82  42473   24.434                       (Palermo, 82, IT, EU) dcr01.anx35.pmo.it.anexia-it.net                                                                    
   37.252.253.18   42473   23.698                   (Palermo, Sicily, IT, EU)                                                                                                     
