   37.10.40.14     202196  0.0                 (Hong Kong, Hong Kong, HK, AS)                                                                                                     
   37.10.40.9      202196  0.258            (Tai Yuen Estate, Tai Po, HK, AS)                                                                                                     
   210.176.141.185 4637    1.38             (Tai Yuen Estate, Tai Po, HK, AS) unknown.telstraglobal.net                                                                           
   202.84.153.37   4637    2.908         (Sham Shui Po, Sham Shui Po, HK, AS)                                                                                                     
   202.84.153.26   4637    1.966     (Hong Kong, Central and Western, HK, AS)                                                                                                     
╭─ 87.245.240.224  9002    1.657                    (Hong Kong, None, HK, AS) ae1-206.RT.IAD.HKG.CN.retn.net                                                                      
LHL (9002)  asia-africa-europe-1-aae-1 ✓ || seamewe-3 ✓
╰─ 87.245.232.137  9002    180.03                  (Vilnius, Vilnius, LT, EU) ae7-9.rt.tic.vno.lt.retn.net                                                                        
   87.245.242.129  9002    3061.779                     (Vilnius, VL, LT, EU) xe121.RT.TIC.VNO.LT.retn.net                                                                        
   87.245.242.129  9002    3061.779                     (Vilnius, VL, LT, EU) xe121.RT.TIC.VNO.LT.retn.net                                                                        
