   196.6.220.42    37578   0.0              (Nairobi, Nairobi County, KE, AF)                                                                                                     
   196.6.220.1     37578   0.456            (Nairobi, Nairobi County, KE, AF)                                                                                                     
   197.155.93.66   30844   0.582            (Nairobi, Nairobi County, KE, AF) 197.155.93.66.liquidtelecom.net                                                                     
╭─ 41.220.224.98   3491    1.574                        (Nairobi, 30, KE, AF) *                                                                                                   
S (3491)  eastern-africa-submarine-system-eassy ✓ || seacomtata-tgn-eurasia ✓
╰─ 63.223.48.142   3491    59.689             (Johannesburg, Gauteng, ZA, AF) hu0-0-0-20.br03.jnb01.as3491.net                                                                    
   45.11.107.135   969     59.46                  (Edenvale, Gauteng, ZA, AF) e49-1-103-pccw.cr2a.jnb1.za.917.as                                                                  
   102.130.51.7    *       58.801             (Johannesburg, Gauteng, ZA, AF) e36-1-20.spine2.jnb01.za.misaka.io                                                                  
   102.130.49.21   328383  59.432             (Johannesburg, Gauteng, ZA, AF) po-21.lag.jnb01.za.misaka.io                                                                        
   102.130.49.144  328383  59.765             (Johannesburg, Gauteng, ZA, AF) za-jnb-as57695.anchors.atlas.ripe.net                                                               
