   200.160.6.19    22548   0.0                 (São Paulo, São Paulo, BR, SA) br-sao-as22548.anchors.atlas.ripe.net                                                               
   200.160.6.61    22548   1.284         (Taboão da Serra, São Paulo, BR, SA) ae1-89.ar3.jd.registro.br                                                                           
   200.160.0.253   22548   1.005                         (None, None, BR, SA) ae0-0.core1.nu.registro.br                                                                          
   200.160.0.161   22548   6.99                          (None, None, BR, SA) xe-5-0-0-0.gw1.nu.registro.br                                                                       
╭─ 200.15.9.94     2914    1.777         (Taboão da Serra, São Paulo, BR, SA) ae-10-1326.a00.saplbr02.br.bb.gin.ntt.net                                                           
S (2914)  south-america-1-sam-1 ✓ || monet ✓ || seabras-1 ✓ || brusa ✓ || america-movil-submarine-cable-system-1-amx-1 ✘ || globenet ©
╰─ 129.250.2.196   2914    119.047                       (None, None, US, NA) ae-2.sayonara-dorian.r23.miamfl02.us.bb.gin.ntt.net                                                 
   129.250.7.46    2914    112.232                   (Miami, Florida, US, NA) ae-1.a03.miamfl02.us.bb.gin.ntt.net                                                                 
   204.141.210.206 393434  118.008                       (None, None, US, NA) *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   131.72.76.118   264811  171.705                   (Miami, Florida, US, NA) 131-72-76-118.rev.airlinkdc.com                                                                     
