   45.11.104.146   57695   0.0                 (Hong Kong, Hong Kong, HK, AS) hk-hkg-as57695.anchors.atlas.ripe.net                                                               
   ***             *       -inf                                           *** *                                                                                                   
   45.11.104.7     57695   0.236                    (Hong Kong, None, HK, AS) po-07.lag.hkg12.hk.misaka.io                                                                        
   199.119.64.150  969     0.295               (Hong Kong, Hong Kong, HK, AS) po103-10.cr1a.eqhk2.hkg12.hk.917.as                                                                 
   185.229.189.198 60068   0.27                (Hong Kong, Hong Kong, HK, AS) p77-6.cr1a.eqhk2.hkg12.hk.917.as                                                                    
╭─ 63.217.254.209  3491    0.799                    (Hong Kong, None, HK, AS) *                                                                                                   
S (3491)  apcn-2 👍 || southeast-asia-japan-cable-sjc ✓ || seamewe-3 👍 || eac-c2c ✓ || asia-pacific-gateway-apg ✓ || asia-submarine-cable-express-asecahaya-malaysia ✓ || asia-america-gateway-aag-cable-system ✓
╰─ 63.218.164.146  3491    40.326              (Singapore, Singapore, SG, AS) be43.br06.sin02.as3491.net                                                                          
   63.220.192.81   3491    39.847              (Singapore, Singapore, SG, AS) 63-220-192-81.static.pccwglobal.net                                                                 
   ***             *       -inf                                           *** *                                                                                                   
   202.70.132.2    140443  37.281              (Singapore, Singapore, SG, AS) 2.132.70.202.in-addr.herza.id                                                                       
   202.70.133.25   140443  37.412              (Singapore, Singapore, SG, AS) 25.133.70.202.in-addr.herza.id                                                                      
