   109.230.208.226 199610  0.0                  (Clifton, New Jersey, US, NA)                                                                                                     
   45.159.5.193    199610  1.064            (New York City, New York, US, NA)                                                                                                     
   62.115.44.132   1299    1.478            (New York City, New York, US, NA) ewr-b1-link.ip.twelve99.net                                                                         
   62.115.126.178  1299    2.157                 (Newark, New Jersey, US, NA) nyk-bb2-link.ip.twelve99.net                                                                        
   62.115.143.13   1299    1.614             (Graniteville, New York, US, NA) nyk-b7-link.ip.twelve99.net                                                                         
   ***             *       -inf                                           *** *                                                                                                   
   154.54.3.125    174     2.143                       (New York, NY, US, NA) be3363.ccr42.jfk02.atlas.cogentco.com                                                               
   154.54.46.33    174     8.301                         (Boston, MA, US, NA) be3472.ccr32.bos01.atlas.cogentco.com                                                               
   154.54.87.102   174     7.947                         (Boston, MA, US, NA) be3663.agr21.bos01.atlas.cogentco.com                                                               
   38.140.158.2    10961   7.694                      (Cambridge, MA, US, NA) *                                                                                                   
   192.5.208.239   10961   8.135                         (None, None, US, NA) cumm111-tunnel-gw01-po1927-cumm111-bdr-gw05-po1927.bu.edu                                           
   128.197.255.155 111     9.233              (Boston, Massachusetts, US, NA)                                                                                                     
   204.8.154.50    10961   8.873              (Boston, Massachusetts, US, NA) cs-atlas.bu.edu                                                                                     
